gene,logFC,PValue
gene_7171,-7.01946732433729,1.25734453537888e-24
gene_7174,3.18268089313831,1.0212219387442e-07
gene_7202,-0.00528182191259824,0.98610239697212
gene_7216,-1.78376866310846,1
gene_7237,-1.7161039217441,2.23329529443678e-05
gene_7255,-1.24260296756735,6.26527831281436e-05
gene_7264,0.970244027862201,1
gene_7306,-5.77026239250267,1.86642039311233e-51
gene_7312,3.3001950767997,2.38390024006886e-05
gene_7314,-1.21345050909922,0.309368076561643
gene_7341,0.799379172698213,0.00894401915031471
gene_7350,-2.56605443924801,0.50529317856625
gene_7372,0.142113182187989,0.724615559041131
gene_7376,0.718019332393616,0.0180007751759198
gene_7384,-0.436464412938178,0.147128549558864
gene_7392,-0.990857364779582,0.00108784249014591
gene_7402,-1.98624449039634,6.85183776893832e-09
gene_7516,-4.68716949704974,3.54094648977699e-38
gene_7520,0.513194765563083,0.08903789041989
gene_7541,-0.526654595679755,0.0806330057965463
gene_7545,-0.375516015348734,0.216699559092936
gene_7866,-0.784044302846119,0.00943873376569204
gene_7908,-2.32555253997516,0.00591285386075925
gene_7923,0.54745965069423,0.0692780521050299
gene_7933,0,1
gene_7944,-1.84498217252185,3.59218953503371e-09
gene_7952,-1.99296407085485,3.22252591882938e-07
gene_7968,3.6920345085342,2.02226473665479e-19
gene_8018,0.794129367762273,0.00844802804553101
gene_8056,0.55675912945088,0.185632646622668
gene_8083,-0.574742593643006,0.0562122472702079
gene_8086,-0.750003037824076,0.0138248375935406
gene_8118,1.12461444080412,0.0320357107225037
gene_8128,-0.0830798800402943,0.78534278519849
gene_8130,-0.42979317245744,0.152669880151703
gene_8196,4.20759288839367,0.0363672095394725
gene_8197,0,1
gene_8226,-2.55608471439461,2.91521562007557e-11
gene_8256,1.78447450321433,8.25717754203909e-09
gene_8277,-1.96147768025408,1.44404328314733e-08
gene_8282,0.653796113997008,0.0297315376815606
gene_8283,-0.544962472829006,0.0701957644044181
gene_8294,-0.19268435240851,0.520312294575387
gene_8300,-0.689344191535433,0.0276578146424086
gene_8311,0.237521078249444,0.435905364699573
gene_8323,-3.34963114547531,2.79779534983487e-24
gene_8324,0.427752193459971,0.160757351746652
gene_8382,0.0884895433288318,0.774562749902859
gene_8394,-0.9367269973094,0.00192656002569049
gene_8405,0.926590489921337,0.00235216905080466
gene_8438,-1.59208234711859,0.0100411645000927
gene_8441,1.49536743668516,1.76554331444486e-06
gene_8513,-1.79980946244315,5.72966893239522e-09
gene_8516,-2.56952361994882,1.10832089204899e-12
gene_8517,-4.11101274224166,4.32052785742927e-33
gene_8710,0.0579963386214164,0.847341033667921
gene_8735,-1.88177511332962,5.56209366029638e-07
gene_8838,0.516629683793344,0.0860177289450827
gene_8853,-0.655071359289346,0.0298049842694342
gene_8869,-0.202161139025017,0.501278901017916
gene_8952,-0.33611409670577,0.262520051743306
gene_8988,0.249886755984565,0.404156359893511
gene_9307,-0.359534441216126,0.230296400151213
gene_9335,0.624532468481048,0.0378317557151054
gene_9413,0.920855573735217,0.00239448582610097
