gene,log2FC,p-value
gene_6757,-0.120619723360948,0.829354257747435
gene_6831,-1.2215148089009,0
gene_6837,0.412446747362499,0.29894001437653
gene_7038,0.6692955540013,0.558097476449445
gene_7047,0.353699766900547,0.113551078442929
gene_7080,-0.922240766325803,0
gene_7168,-0.469450351346221,1.25122134875255e-13
gene_7171,6.01263833075005,1.84161806915384e-07
gene_7174,-2.87975032092114,1.45625272507388e-06
gene_7202,-0.00912931736032683,0.95539705010537
gene_7237,1.58116636834272,0.143718771718832
gene_7255,1.22516438005196,5.77315972805081e-15
gene_7306,5.71048257620394,7.08809864136128e-07
gene_7341,-0.810458980908514,3.59885319434206e-07
gene_7372,-0.157638475884566,0.829749043899776
gene_7376,-0.74531904716114,0.298449746352878
gene_7384,0.414901013517594,0.471116167483829
gene_7392,0.978902595178622,2.27205214864412e-07
gene_7402,1.95986510911046,0
gene_7516,4.65248925335532,0
gene_7520,-0.534541168745971,5.51813633165033e-05
gene_7541,0.509459390334111,2.22044604925031e-16
gene_7545,0.362247411169995,0.000336557093276402
gene_7866,0.767995800396256,8.21565038222616e-14
gene_7923,-0.563404437471075,0.000251724124685215
gene_7944,1.83108368115361,0
gene_7952,1.87960357544261,0.0787372520075035
gene_7968,-3.7078132987534,0.0123865395979053
gene_8018,-0.813796880776559,5.55999690732278e-13
gene_8056,-0.527093212005103,0.440987395934422
gene_8083,0.563313597149446,0.148902974900222
gene_8086,0.740378709277499,0.000449760368655627
gene_8128,0.0565873632796172,0.864889326573982
gene_8130,0.411634744067973,4.64718263870623e-11
gene_8226,2.49466505678476,0
gene_8256,-1.80146268955797,1.54798396323486e-12
gene_8277,1.93194454265612,1.0991207943789e-14
gene_8282,-0.671596148219107,0
gene_8283,0.525692968642957,0.000260539822352635
gene_8294,0.180128982863015,0.654892187764344
gene_8300,0.676479479710577,0.0700624006091145
gene_8311,-0.24862753936252,0.801515749483693
gene_8323,3.33511699313736,0
gene_8324,-0.448424177796948,0.0184332039073785
gene_8382,-0.107903411649128,0.923634516459059
gene_8394,0.921600881137352,0
gene_8405,-0.948162132610765,2.37687969306677e-09
gene_8441,-1.51043211824303,0
gene_8513,1.78556741864998,0
gene_8516,2.52311304452593,4.06615741077587e-10
gene_8517,4.07155550996186,0.00111900928716935
gene_8710,-0.071898402191852,0.910782260657106
gene_8735,1.83128519340791,6.37355514920834e-07
gene_8838,-0.534328542356248,7.24276194574713e-12
gene_8853,0.646639263757285,0.885363267129732
gene_8869,0.190069133765503,0.651521639732215
gene_8952,0.31937973334854,1.59033275437537e-09
gene_8988,-0.264330188936111,2.95664679151875e-05
gene_9307,0.345223904101932,0
gene_9335,-0.64051243657442,1.78363879221877e-10
gene_9413,-0.932177465858368,0
gene_9724,1.05968641251938,2.38953001829856e-09
gene_9765,4.14870790621869,3.64396598784289e-07
gene_9780,-0.359087762577571,0.0038736374742695
gene_9790,-1.2833796017884,0.000281099123575657
gene_9830,-0.369235336693714,0.000535921859403765
gene_9844,-0.43157759493866,0.00135703946536569
gene_9950,1.12317632893267,0.263172395839901
gene_9954,-0.416097828950261,0.0403865167769492
gene_10017,0.219546232575777,0.202251132438813
gene_10030,3.09234103709564,0
gene_10072,-0.624191065017582,0.106661443941844
gene_10165,-0.185351937540398,0.829024339685249
gene_10219,-0.583842927057827,4.91213958397907e-10
gene_10244,0.211682615681407,0.468124711302884
gene_10256,-1.03678556812035,0
gene_10270,-0.204786939511224,0.316401128280645
gene_10278,-0.99344960060936,0
gene_10292,-2.34793285555187,0
gene_10295,-2.02213727733701,0.123515352213113
gene_10310,3.46525625881299,0
gene_10318,-1.06146510460982,0.000660654425582718
gene_10319,-2.20345400118869,5.07071851904017e-05
gene_10322,0.997088098575126,0
gene_10361,0.515780174748788,3.49584443037898e-06
gene_10404,0.832496863431998,0.0141925681395891
gene_10438,-0.308265524062905,0.743429456613007
gene_10539,0.272811016576173,0.708477890378281
gene_10610,-0.46458445808769,0.574753308445773
gene_10626,0.291208972037571,0.140802553532028
gene_10704,-0.0336174574883188,1
